Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,mTORC1 Signaling,4.382369e-01,1.444303e+00,2.185792e-03,3.289168e-02,3.930000e-01,98/195,30.45%,SLC2A1;PSAT1;PLK1;RRM2;SLC7A11;AK4;MCM2;BUB1;EGLN3;AURKA;SLC7A5;CDC25A;GCLC;MCM4;CCNF;SRD5A1;GAPDH;MLLT11;PHGDH;SLC9A3R1;PSPH;ASNS;SORD;GMPS;PDK1;SLC1A4;PLOD2;SHMT2;MTHFD2;TRIB3;ME1;GPI;UNG;TPI1;ELOVL6;HPRT1;CCT6A;POLR3G;HSPD1;HSPE1;LDHA;TUBG1;DDIT4;DDX39A;G6PD;NUP205;TFRC;SLC1A5;TOMM40;ENO1;DHFR;TXNRD1;CACYBP;HMBS;ALDOA;PSMD14;PSMC4;DHCR7;PSMG1;ATP2A2;P4HA1;PDAP1;SERPINH1;PNO1;STIP1;PGK1;SQLE;IGFBP5;PSMD12;HK2;GSR;TUBA4A;UCHL5;CD9;YKT6;GSK3B;RIT1;HSP90B1;PSMB5;PRDX1;ACTR3;SDF2L1;PSME3;PITPNB;FADS2;RPA1;DDIT3;ABCF2;HSPA5;FDXR;NMT1;GOT1;PSMC2;PPIA;SSR1;IMMT;EIF2S2;HSPA4
prerank,KRAS Signaling Up,-3.248199e-01,-1.400249e+00,0.000000e+00,3.780059e-02,1.047331e-01,82/191,20.89%,TMEM100;PPBP;NR0B2;RETN;PIGR;GNG11;RBP4;ALDH1A2;TLR8;ACE;SPARCL1;IL33;ENG;FLT4;IL7R;GYPC;BMP2;AKAP12;CTSS;TFPI;IRF8;ABCB1;LAT2;CD37;PPP1R15A;TSPAN13;FGF9;GLRX;ETV1;FCER1G;CSF2;DOCK2;LIF;WNT7A;LAPTM5;CAB39L;HSD11B1;HBEGF;ETS1;DUSP6;TRIB1;C3AR1;TSPAN7;LCP1;CMKLR1;SLPI;IKZF1;IL10RA;NRP1;TNFRSF1B;ID2;ITGB2;EPB41L3;CSF2RA;MALL;G0S2;BIRC3;F13A1;CLEC4A;ARG1;BTC;KLF4;PDCD1LG2;VWA5A;IL1B;RGS16;FUCA1;PTGS2;CA2;SATB1;EMP1;USP12;MTMR10;EVI5;PRKG2;GADD45G;SPRY2;TNFAIP3;IL2RG;LY96;APOD;PTPRR
prerank,Angiogenesis,-4.148139e-01,-1.396856e+00,4.621849e-02,3.572734e-02,1.067472e-01,9/36,8.19%,APOH;LPL;VTN;PF4;PGLYRP1;OLR1;SLCO2A1;S100A4;KCNJ8
prerank,Mitotic Spindle,4.189038e-01,1.379401e+00,1.280683e-02,6.615316e-02,6.690000e-01,39/197,15.69%,TPX2;TTK;TOP2A;NEK2;CENPF;BIRC5;DLGAP5;KIF4A;KIF2C;ANLN;CCNB2;PLK1;NDC80;KIF11;PRC1;KIF23;NUSAP1;ESPL1;BUB1;AURKA;KIF15;ECT2;CENPE;CDK1;PIF1;FSCN1;WASF1;RACGAP1;KNTC1;LMNB1;CEP72;INCENP;KIF3C;KIF20B;SASS6;SMC4;NET1;BRCA2;FBXO5
prerank,Bile Acid Metabolism,-3.345102e-01,-1.362393e+00,0.000000e+00,4.650823e-02,1.460222e-01,27/112,16.20%,NR0B2;ABCA8;HSD17B6;RXRG;ABCA3;ABCA9;NR3C2;APOA1;GNMT;CYP27A1;SLC23A1;ABCA6;CAT;AQP9;CH25H;AR;ACSL5;HSD17B11;DIO1;BMP6;CYP7A1;HSD17B4;DHCR24;ABCD2;ACSL1;PECR;CYP39A1
prerank,Estrogen Response Late,3.950576e-01,1.310451e+00,3.481013e-02,1.225609e-01,8.910000e-01,63/196,17.29%,KRT13;GAL;NMU;GJB3;CYP4F11;PLAC1;CDC20;TOP2A;TRIM29;CDC6;TFF1;KIF20A;CXCL14;HR;GINS2;PERP;RAPGEFL1;SLC7A5;SOX3;CA12;STIL;CELSR2;IGSF1;SFN;PCP4;PLK4;PTGES;MDK;SLC16A1;PKP3;TPBG;S100A9;TFAP2C;LAMC2;SLC9A3R1;RNASEH2A;RET;SORD;MYB;TPD52L1;HSPA4L;PDZK1;PRLR;SLC1A4;FKBP4;DHRS2;KRT19;SIAH2;DLG5;ASCL1;XRCC3;PPIF;HPRT1;TH;RBBP8;FGFR3;KLK10;LSR;ST14;UGDH;CCNA1;IDH2;MEST
prerank,UV Response Dn,-3.170415e-01,-1.303312e+00,0.000000e+00,6.499086e-02,2.134945e-01,31/138,16.70%,DLC1;FBLN5;CAV1;SYNE1;GRK5;TGFBR2;DUSP1;PTPN21;PRKCE;MGLL;CELF2;CITED2;PTPRM;TGFBR3;DDAH1;PPARG;TFPI;EFEMP1;RBPMS;PMP22;PTGFR;SMAD7;LDLR;NRP1;DAB2;BDNF;NEK7;PRKAR2B;TJP1;NR3C1;FYN
prerank,heme Metabolism,-2.921543e-01,-1.253074e+00,1.562500e-02,9.136466e-02,2.950655e-01,39/190,14.54%,HBB;ALAS2;GYPE;GYPB;SELENBP1;TAL1;CA1;TNS1;GATA1;ICAM4;EPB42;GYPA;HBD;AHSP;NFE2;CAT;GYPC;CLIC2;HBZ;SLC22A4;ACP5;KAT2B;CTSE;C3;MYL4;LMO2;SLC4A1;ABCG2;BTG2;CCND3;TRIM58;SIDT2;LPIN2;EPOR;RAP1GAP;TRAK2;NEK7;SDCBP;MPP1
prerank,Apoptosis,-2.828498e-01,-1.206329e+00,7.766990e-02,1.218769e-01,3.826788e-01,58/159,24.89%,GPX3;IL6;CAV1;GADD45B;CD69;NEDD9;TIMP3;BMP2;TXNIP;PRF1;TGFBR3;HMOX1;EGR3;RHOB;ATF3;HGF;BTG2;SMAD7;PLCB2;RARA;DPYD;DCN;CLU;IRF1;JUN;BIRC3;LGALS3;FAS;GUCY2D;MCL1;IL1B;SPTAN1;CFLAR;TIMP2;SATB1;EMP1;FASLG;CASP1;CD14;CDKN1A;IFNGR1;CD2;ADD1;TGFB2;PSEN2;GPX1;IFITM3;CD38;PPP2R5B;CYLD;LMNA;PEA15;FEZ1;BCL2L2;RETSAT;SOD2;IL18;AVPR1A
prerank,Xenobiotic Metabolism,-2.601261e-01,-1.135044e+00,1.549296e-01,2.101414e-01,5.881168e-01,63/196,20.55%,CYP1A1;CYP1A2;F11;ATOH8;PDK4;FBP1;VTN;AOX1;CDO1;F10;RBP4;GNMT;CYP27A1;CYP17A1;GSTA3;CD36;CYB5A;ACOX2;CAT;ALDH2;AQP9;PAPSS2;PTGDS;IRF8;HMOX1;SLC6A12;SERTAD1;HSD11B1;TTPA;PROS1;MAOA;ACSM1;MAN1A1;IL1R1;LPIN2;DDC;SLC46A3;ID2;CYFIP2;RAP1GAP;FABP1;ABCD2;LCAT;ABHD6;ARG1;ITIH4;FAS;SLC12A4;EPHX1;CA2;MT2A;NDRG2;PLG;ALAS1;ESR1;PMM1;PINK1;DDAH2;IGF1;ASL;TAT;ETS2;TGFB2
prerank,Unfolded Protein Response,3.603330e-01,1.135041e+00,2.366325e-01,4.972678e-01,1.000000e+00,47/107,32.42%,PSAT1;SLC7A5;EIF4EBP1;ASNS;SLC1A4;CKS1B;MTHFD2;DKC1;EXOSC5;NOP56;XPOT;CHAC1;STC2;DDIT4;KDELR3;ALDH18A1;YWHAZ;SRPRB;PDIA6;EXOSC4;EIF4G1;LSM4;DDX10;EXOSC2;FKBP14;PAIP1;HYOU1;EIF4A3;EIF2S1;TUBB2A;KHSRP;HSP90B1;POP4;LSM1;PREB;CEBPG;IGFBP1;NOLC1;BANF1;HSPA5;WIPI1;SSR1;NPM1;SHC1;NOP14;NFYA;NHP2
prerank,Epithelial Mesenchymal Transition,3.311227e-01,1.089884e+00,2.931937e-01,6.114530e-01,1.000000e+00,49/195,16.44%,COL11A1;PTHLH;MMP3;MMP1;COL7A1;FBN2;SLC6A8;SPP1;GREM1;LAMA1;LRRC15;SPOCK1;ADAM12;CTHRC1;IGFBP2;GPC1;CXCL6;PFN2;IGFBP3;CDH2;THBS2;SCG2;SERPINE2;COL5A2;LAMC2;COL1A1;MXRA5;TNC;COL3A1;POSTN;WNT5A;SNAI2;PLOD2;FAP;BASP1;LOXL2;MCM7;DKK1;SDC1;MMP14;SFRP1;COL1A2;COL5A1;COMP;PDLIM4;COL5A3;MFAP5;ITGA2;LOXL1
