Hugo_Symbol,T_Paired,P_Paired
FAM189B,-12.528242029726012,6.812238708988559e-17
SLC36A1,-5.622916769073081,8.868559742637276e-07
CHI3L2,6.638399269600034,2.4104626807747254e-08
TMEM8A,2.5181230610872167,0.015114880337716147
DPYSL2,21.388427883193664,1.675562060510201e-26
FNDC1,-4.621171956730378,2.7976084142441212e-05
LGALS2,4.865092135738267,1.2267833036761304e-05
ZNF354A,-2.28831099280843,0.02647138023434496
FAM179B,3.827975284882416,0.0003670872664178155
SPAG4,-3.4462972181334535,0.001175351068986403
C3orf58,-3.622805221753431,0.0006910547209257979
ABT1,-2.5754022211612293,0.013081075538699437
TNC,-5.608002971761456,9.345939042192753e-07
ARNTL,2.5251054280826697,0.014852447798253121
KCTD15,-5.0445550152493785,6.638567069113675e-06
CARD11,-3.1045944408764634,0.0031629338871672795
POGLUT1,-4.941410374336054,9.455159826758384e-06
ETS2,5.890515747449714,3.4496663559925397e-07
SIVA1,-3.310328450082097,0.0017537732277012705
C8orf4,11.018180884094832,7.305617587550154e-15
C3orf27,3.4955051686967216,0.0010148942160492032
CXADR,-4.63622812995399,2.6598133216077135e-05
MIB1,-4.937787114891253,9.57302374573884e-06
ELOVL6,-6.793319515739893,1.3867432873610482e-08
ADAMTS10,6.180605649601326,1.2322108857693179e-07
RHOF,2.5668692333389718,0.013367339743844084
MOSPD2,7.560839414592071,9.018912051707143e-10
AMN1,-2.697142842998603,0.009562397347497267
LCE2B,-2.477506584587027,0.01672663758845331
SELENBP1,18.987037528331374,3.0941113762574882e-24
RSPH9,5.439735952638141,1.6857703428730276e-06
PIGU,-8.684450904821512,1.7497503729519673e-11
PRELID1,-2.1616975087713746,0.035553836734342086
PLAC8L1,-2.320061253037695,0.024545663417549633
ZNF649,4.782944442659015,1.6216281171228084e-05
NOSTRIN,19.71165910269852,6.081165476884827e-25
XKR8,5.5961871305046165,9.742174010136417e-07
RCC1,-12.689900966336387,4.202298821419433e-17
CERK,-2.0367013714043347,0.04710197383681391
MANF,-3.9798990845495257,0.00022755704065220697
IFNAR1,3.8100130392535014,0.0003882328053890517
EMC4,-2.3915828381961712,0.02065898183814697
ABCA6,14.730985677077863,1.2504327789203848e-19
RAB7L1,2.860900736162524,0.006193785314839295
CDKN1C,3.262437668482177,0.0020153402259502485
C15orf54,2.6140917244867476,0.011851957679416476
C19orf59,13.167240822575316,1.0290563953842268e-17
AKAP11,8.922997001270131,7.681183280018267e-12
NMRK1,2.6904416124037382,0.009730844700064576
MRPS5,-4.099258760855307,0.00015544758531901463
CTD-2535L24.2,4.323057186019394,7.518934904803294e-05
CAMP,3.333329078235469,0.001639904747705144
SMARCD2,-6.521773097613375,3.6543601589200825e-08
SMARCAL1,-2.3718830089525875,0.021670243763862555
SLC39A12,5.546409605988423,1.1602570319348893e-06
CD1E,7.371729713550226,1.7652173734075526e-09
ACR,9.54036534756351,9.374236298802991e-13
SYCE3,-3.5513101189214096,0.0008582263895847486
C12orf49,15.56236756085424,1.3505481494194373e-20
PLEKHA5,-4.90875060777584,1.0571280573749974e-05
PRMT8,7.8208415457745195,3.5933010112583497e-10
SLC35D2,4.00459188355692,0.00021038507793414286
MCAM,4.614354624742812,2.862278144591217e-05
EIF2B1,-5.309188829947427,2.657807890949699e-06
LRRC8C,9.212936319317299,2.8458125547203755e-12
IRF8,9.795442902349087,3.9798738529366516e-13
CKLF,3.855663768510899,0.00033664969885817316
FANCB,-9.307472249830264,2.06271369116331e-12
SPP1,-6.133037744849413,1.4592759861670055e-07
GPR50,-3.467928370265542,0.0011020454868292185
TCHHL1,-2.4834064502161346,0.016483244177475403
