Hugo_Symbol,Log2FC,T_Paired,P_Paired,T_Independent,P_Independent,Is_DEG_Paired,Is_DEG_Indep,Alignment_Category
DOCK11,-1.910385340384715,14.659945590292258,1.518022737206929e-19,15.717595155416685,1.5501205105957345e-28,True,True,Both (Concordant)
NENF,0.1298532006085363,-1.6473492714868958,0.1058852816915817,-1.6362601957451026,0.1049928396799124,False,False,Neither
TMEM231,-1.2337940402311374,5.08706420736502,5.735071317094531e-06,4.9826013855078175,2.700653530016661e-06,True,True,Both (Concordant)
DNAH17,1.70568517206085,-3.7223366460883494,0.0005094300357369973,-3.7552237543842395,0.00029392223990907585,True,True,Both (Concordant)
DCHS1,-1.2191113616628382,6.09442483444728,1.6738872544423413e-07,6.40624255223789,5.207132128207257e-09,True,True,Both (Concordant)
ZFYVE19,0.35813221783482846,-4.339839261458058,7.116258468459776e-05,-4.216701133013474,5.5291013453358154e-05,False,False,Neither
RBMY1F,-0.1354729885225642,0.13755148044086457,0.8911585795815351,0.13777140625419065,0.8907037593037037,False,False,Neither
NTRK1,-0.4526092816352019,1.39711720663038,0.16867344087566388,1.4111999324992663,0.16135251902695383,False,False,Neither
CCDC62,-0.26814291566315823,1.3350206216856837,0.18803926192886697,1.2910258793316802,0.19973186855303995,False,False,Neither
HS3ST4,4.0377463905632425,-2.8225766992265657,0.0068652243169981435,-2.8267142193962784,0.0057011108605932335,True,True,Both (Concordant)
CDH9,2.7472339296200334,-2.455846291845689,0.01764834580876023,-2.443036653287584,0.016354051959388487,True,True,Both (Concordant)
SLC5A8,-2.4123787635785696,5.523481113323278,1.2574044536538683e-06,5.0376766987562265,2.1507201556081764e-06,True,True,Both (Concordant)
WDR53,1.4672420223142086,-9.058623186919045,4.822157568106048e-12,-9.132277288710798,9.24742047198777e-15,True,True,Both (Concordant)
NLN,1.4075434435861363,-9.042124098781498,5.10262746176015e-12,-8.938272044341419,2.4333076094341283e-14,True,True,Both (Concordant)
TBC1D31,1.3101769725029127,-9.200050728644825,2.973647284772309e-12,-9.16085675121047,8.018158103491453e-15,True,True,Both (Concordant)
G6PC2,-3.089968971077223,4.9874801798546295,8.075464989150611e-06,4.697014930086311,8.605406641477994e-06,True,True,Both (Concordant)
NOXRED1,-0.21681252801788922,1.1587241255448861,0.2521847176278866,1.1158829782579847,0.2672009440145662,False,False,Neither
ZNF597,-1.5081970301650978,14.128680795345893,6.598000493005038e-19,12.734385528796937,1.691204704518581e-22,True,True,Both (Concordant)
RNF114,-0.17369389196419005,3.3840352817499078,0.0014131486717412554,2.9357936660605133,0.004145430876988088,False,False,Neither
JOSD2,0.11961262186182563,-1.4240527260722704,0.1607686028290229,-1.2651217141795459,0.20882764347776597,False,False,Neither
SFRP2,1.1177303309845295,-3.2984738080532225,0.0018153485695934163,-3.0359878377640515,0.0030712172988511454,True,True,Both (Concordant)
PNMA2,-2.3982438165853748,16.017425326088777,4.13029114854547e-21,15.6126134721871,2.4831366765559096e-28,True,True,Both (Concordant)
CDH10,-0.43558948876876796,0.5072049430686816,0.6142862496907954,0.4803431723950444,0.6320538937198271,False,False,Neither
C1orf158,-2.7745527242969596,5.070781089373826,6.065850414696989e-06,4.569426448673226,1.426498984376836e-05,True,True,Both (Concordant)
GLRA1,0.7360802335732839,-1.1071202136799163,0.2736474257418561,-1.1606161244045072,0.2486175076738981,False,False,Neither
HENMT1,0.833196405514802,-3.8789210848673132,0.00031297701802725654,-3.7707802021154917,0.00027838182848099823,True,True,Both (Concordant)
STX16,0.3492001823286683,-4.2304510276387415,0.00010173023083279704,-3.8246463201044105,0.00023039391558313195,False,False,Neither
PTX3,-2.5221668533288137,1.9338531660754412,0.058918000261968625,1.814505972103194,0.07265927749923222,False,False,Neither
BFAR,-0.25954667678075244,4.622301959402968,2.7870282954423176e-05,4.137653788937466,7.423684184929225e-05,False,False,Neither
MEP1B,0.21756818436084147,-0.6197049732824754,0.5383232060092814,-0.5833721051274744,0.560983002139765,False,False,Neither
SHROOM3,-1.957382114034952,14.245422346979366,4.76342331018335e-19,13.733114691889343,1.4372051176156759e-24,True,True,Both (Concordant)
NUP107,0.8794766339682998,-10.436054272000282,4.788815360628296e-14,-9.593005255911693,9.256095048711437e-16,True,True,Both (Concordant)
OR1N2,0.13416523832471286,-0.1863488334818263,0.8529405766438103,-0.18813392929402395,0.8511606787302992,False,False,Neither
HS6ST1,1.190435378607117,-8.084740948867097,1.4181902494201291e-10,-7.724687739511489,9.763656820684073e-12,True,True,Both (Concordant)
BRWD3,0.5421327982245552,-5.167368226963074,4.346722863766674e-06,-4.806507709455775,5.542715457373375e-06,False,False,Neither
FGF11,4.257794440735617,-8.612493277062176,2.245408674477493e-11,-8.561734533876102,1.5829595055002028e-13,True,True,Both (Concordant)
CCDC138,1.307394695355192,-7.733158116185572,4.89876031526019e-10,-8.099800334138129,1.5530863105531863e-12,True,True,Both (Concordant)
FAM193B,-0.37311010214033236,3.4621338667615307,0.0011212434463776081,2.856487029006881,0.00523050279583564,False,False,Neither
BATF,-0.8285034720898817,3.536864222168812,0.0008964065231191028,3.704641877008579,0.0003503535164804433,True,True,Both (Concordant)
CTD-2545G14.7,1.9199735221094443,-1.7170463836642702,0.09228615637463829,-1.7455882183374956,0.08401667065689952,False,False,Neither
COL4A2,-0.40353829015896914,1.9598318227000957,0.05571584095201439,1.9031006581583623,0.05996228803766481,False,False,Neither
AGFG2,-0.9233234008624697,7.30455047786904,2.241620126390208e-09,7.716286947233474,1.0172006578547716e-11,True,True,Both (Concordant)
TVP23B,0.46914438926896246,-3.0289543650061272,0.00390897255679719,-3.0565433469634207,0.002885488098170387,False,False,Neither
FBXO42,0.003274199391985451,-0.037567625188857666,0.9701850599626564,-0.03769315851302115,0.9700090074171653,False,False,Neither
NBEAL1,-0.3108940664301461,1.6601913129061687,0.10326309626576231,1.4576108653715443,0.14814494202742726,False,False,Neither
BCL6,-0.48115682087012623,3.6417617916094938,0.0006522560757200572,3.7981644717729393,0.00025290689914317843,False,False,Neither
DNAJC3,-0.4702264327922395,6.424239241515253,5.1744883278708095e-08,5.9999712010843815,3.32274080814038e-08,False,False,Neither
CABP5,-4.4651641892562095,2.657138312185033,0.01060912665229938,2.6524598789154017,0.009321889583415705,True,True,Both (Concordant)
C1orf233,0.765225008134352,-2.7052050033738517,0.009363293466989726,-2.788317385664998,0.006365244927830489,True,True,Both (Concordant)
ADH6,-1.0124929501039976,2.5236530149763117,0.014906693500427884,2.607307607916881,0.010551238007982378,True,True,Both (Concordant)
VPS13B,-0.00207114022884331,0.028260153431815236,0.977569448123853,0.02969315087386757,0.9763721608299226,False,False,Neither
ZMYM3,0.09428458316689282,-0.878913649488466,0.3837379429688346,-0.898006264752987,0.3713831731608507,False,False,Neither
SEMA3D,-0.10324763657421107,0.4525457262367896,0.6528732093173563,0.44138490890620974,0.6599066898270306,False,False,Neither
ITGB6,-1.262685024890174,10.732974288621747,1.825614388240186e-14,10.571571079493753,6.983400079735944e-18,True,True,Both (Concordant)
RBM44,-0.2429769694519048,0.6569051069892174,0.5143155852085449,0.6440733699373843,0.5210324452428619,False,False,Neither
CEACAM21,-2.4092394316932553,11.604791672046343,1.1475214110101225e-15,10.52715461227755,8.713231938469613e-18,True,True,Both (Concordant)
ETV6,0.5319090196403902,-2.9536462392410554,0.004812938538958732,-3.008969653624746,0.0033321888631299536,False,False,Neither
C1RL,-0.4540413971042209,6.514089047034712,3.7559077711300735e-08,5.992349338894522,3.438700693028802e-08,False,False,Neither
CCDC181,-2.304432408685425,5.488989089805875,1.418922781852034e-06,5.408695347964195,4.4887751864113594e-07,True,True,Both (Concordant)
GPN3,0.2076194622490882,-3.0261352371231904,0.003939734019539448,-3.084823825865209,0.002646938252781415,False,False,Neither
