Hugo_Symbol,T_Independent,P_Independent
SLC35D2,3.841076394047704,0.0002174002765172049
MCAM,4.5836625593351075,1.3488076583575138e-05
EIF2B1,-5.297986749372403,7.206000952937385e-07
LRRC8C,9.183424559670723,7.163929600330855e-15
IRF8,9.66814413457435,6.357620657995134e-16
CKLF,3.562442403102869,0.0005692796881626771
FANCB,-9.332802162976597,3.397649446956985e-15
SPP1,-5.882059295869787,5.637396094488071e-08
GPR50,-3.465291023769643,0.0007874782538271539
TCHHL1,-2.4864144909495933,0.014594800157018117
CERS5,-3.0508771062215745,0.0029356181830518433
MKI67,-11.724417782352436,2.3174150467783313e-20
IRAK1,-8.670261256701677,9.23489268668568e-14
MGARP,2.3322035530366287,0.021736225632618403
IL2RA,-2.1834848319631717,0.03138701796900379
MARCH3,4.181962877215026,6.296097374501955e-05
CD55,14.702847291940605,1.5603071002216142e-26
TMEM63C,-4.758947069037269,6.714408402319946e-06
SSSCA1,-4.909347818044813,3.6483565887646448e-06
ATF3,4.854557809755167,4.561640321060827e-06
TDRD12,-2.411589995569402,0.017745268697062107
CDH15,2.829367487485652,0.005657649066593558
NDUFA12,-4.782556009955665,6.1055134304946774e-06
MARK4,-4.880318705991896,4.10748573327206e-06
KIAA1107,4.790881063118335,5.903875078890591e-06
TSFM,-8.915550467821117,2.7249864738491723e-14
TBC1D23,-3.2226126917114506,0.00172513827915264
DHFR,-7.460242811893759,3.5290313240358105e-11
MAPK10,3.8537628591367086,0.0002078483330380117
CNIH3,-2.3889471607481636,0.018811236862810655
PTP4A3,4.211440227876358,5.639189766310987e-05
MBTPS2,-4.771269206864229,6.3896012745640375e-06
PUS1,-8.588186102771578,1.3882191196231779e-13
DDX27,-6.208451530142231,1.291308251395357e-08
B3GNT1,10.42992537126147,1.4147558424472377e-17
C4A,8.256195839846537,7.183556475700445e-13
C17orf103,12.577131157532905,3.6163741449766735e-22
PIK3R4,-6.0841527044846435,2.2721457347954556e-08
NOMO3,-4.590225911227925,1.314384578265193e-05
EIF4A2,-2.791485162682815,0.006307888644042497
NMRK2,2.4138327102726596,0.017642669696450463
BMPR2,8.858122273529464,3.627333820539785e-14
AC090186.1,8.849243236051697,3.7912959117665833e-14
RNF32,-2.5886302378777404,0.011101236323348982
SMIM13,-7.059981873421118,2.4151508251846766e-10
NIPAL4,-3.4329249859952533,0.0008762165466698587
EPHX4,-3.5063284948597784,0.0006871140874782216
LNX2,7.725167638540664,9.740828211889495e-12
CTD-2583A14.10,-3.8981522099897883,0.0001774798805145114
GADL1,3.3967115800742325,0.000986629519488251
ACAT2,-3.0904339902931683,0.0026018467142546364
ULBP3,-4.611233354765115,1.2098312277421227e-05
AGPAT3,3.7895662932018315,0.0002606563444929816
ABCC1,-5.583714745217216,2.1038602859663228e-07
NEU2,-2.759101760317827,0.006917128320580568
CHCHD2,-3.3226455191059774,0.0012543997369040933
ANO5,14.727736812984181,1.391326302610089e-26
RALBP1,-2.894631729589394,0.004679655811679646
HERPUD2,3.618863607197321,0.00047024122951132454
ZNF596,3.163433137093929,0.002076580419991152
NFU1,2.536902057676268,0.012761976055478937
MRPL54,6.609683902087837,2.0240260085320504e-09
DMXL1,9.231214548839468,5.643256779570636e-15
ZBTB8A,3.587586704347294,0.000522925116949821
NFXL1,-4.888923815742526,3.965823037120194e-06
CTU2,-4.111112321529689,8.189436486524075e-05
NPDC1,10.887290547995807,1.4518722492235918e-18
PPP3R1,-5.9505011483809565,4.1500304257581e-08
FAT2,-7.434507983865701,3.996852866579664e-11
AMMECR1L,-2.958313497506852,0.0038775090947120025
ZFHX2,3.8780705366250934,0.0001906531850068195
RSRC1,-11.30515288481274,1.8303531936092576e-19
MS4A13,-2.188515702386074,0.031007716299252686
UBE2J1,5.277487604648315,7.861908066253668e-07
PSMA5,-4.83514584561819,4.935768154588182e-06
CXorf56,-3.364998216516341,0.0010939383255261497
RRP15,-6.143423289795874,1.7364520907611734e-08
IL32,4.608847443505853,1.2212874851866597e-05
MYOD1,-2.170708617448185,0.032368493631734205
RAD51D,-5.721613145505202,1.148973395239239e-07
KLF17,8.366718440188567,4.1601488059254434e-13
C18orf54,-6.2322443949164406,1.158331297968846e-08
RPUSD4,-3.998917928754376,0.00012348133282056025
MRPS7,-6.445254785102186,4.34769294628975e-09
PRRC2B,-2.8713850274586497,0.005008641439585531
LGR4,-8.030386692763722,2.185103210409093e-12
ANO7,-4.315638318995524,3.805746153356397e-05
CCDC107,8.570002068294192,1.5193323656581069e-13
C10orf112,7.34521951694569,6.150783037105525e-11
NMBR,2.137115638305448,0.03507747857928458
GPATCH8,-2.1279833483047788,0.035847070201685226
MRPS31,3.615764835392287,0.0004752275280631294
